datetime,sensor,value,time_idx
1990-01-01,0,0.7855,0
1990-01-02,0,0.7818,1
1990-01-03,0,0.7867,2
1990-01-04,0,0.786,3
1990-01-05,0,0.7849,4
1990-01-08,0,0.7866,5
1990-01-09,0,0.7886,6
1990-01-10,0,0.791,7
1990-01-11,0,0.7939,8
1990-01-12,0,0.7894,9
1990-01-15,0,0.7917,10
1990-01-16,0,0.7941,11
1990-01-17,0,0.7935,12
1990-01-18,0,0.7954,13
1990-01-19,0,0.7751,14
1990-01-22,0,0.7622,15
1990-01-23,0,0.7583,16
1990-01-24,0,0.7605,17
1990-01-25,0,0.7635,18
1990-01-26,0,0.766,19
1990-01-29,0,0.7685,20
1990-01-30,0,0.7702,21
1990-01-31,0,0.7735,22
1990-02-01,0,0.7655,23
1990-02-02,0,0.7665,24
1990-02-05,0,0.7575,25
1990-02-06,0,0.7545,26
1990-02-07,0,0.7493,27
1990-02-08,0,0.7521,28
1990-02-09,0,0.7521,29
1990-02-12,0,0.7457,30
1990-02-13,0,0.75,31
1990-02-14,0,0.7567,32
1990-02-15,0,0.7595,33
1990-02-16,0,0.7586,34
1990-02-19,0,0.7646,35
1990-02-20,0,0.7652,36
1990-02-21,0,0.765,37
1990-02-22,0,0.7605,38
1990-02-23,0,0.7601,39
1990-02-26,0,0.7635,40
1990-02-27,0,0.7596,41
1990-02-28,0,0.7585,42
1990-03-01,0,0.7611,43
1990-03-02,0,0.7596,44
1990-03-05,0,0.7607,45
1990-03-06,0,0.7607,46
1990-03-07,0,0.758,47
1990-03-08,0,0.761,48
1990-03-09,0,0.7635,49
1990-03-12,0,0.7563,50
1990-03-13,0,0.7536,51
1990-03-14,0,0.7549,52
1990-03-15,0,0.7565,53
1990-03-16,0,0.752,54
1990-03-19,0,0.7504,55
1990-03-20,0,0.7474,56
1990-03-21,0,0.7469,57
1990-03-22,0,0.7452,58
1990-03-23,0,0.7471,59
1990-03-26,0,0.7523,60
1990-03-27,0,0.7548,61
1990-03-28,0,0.7561,62
1990-03-29,0,0.7605,63
1990-03-30,0,0.7669,64
1990-04-02,0,0.765,65
1990-04-03,0,0.765,66
1990-04-04,0,0.763,67
1990-04-05,0,0.7643,68
1990-04-06,0,0.7663,69
1990-04-09,0,0.7663,70
1990-04-10,0,0.765,71
1990-04-11,0,0.7654,72
1990-04-12,0,0.7653,73
1990-04-13,0,0.77,74
1990-04-16,0,0.7732,75
1990-04-17,0,0.7705,76
1990-04-18,0,0.7655,77
1990-04-19,0,0.7663,78
1990-04-20,0,0.766,79
1990-04-23,0,0.756,80
1990-04-24,0,0.7503,81
1990-04-25,0,0.75,82
1990-04-26,0,0.7457,83
1990-04-27,0,0.752,84
1990-04-30,0,0.7552,85
1990-05-01,0,0.7546,86
1990-05-02,0,0.7565,87
1990-05-03,0,0.7577,88
1990-05-04,0,0.7585,89
1990-05-07,0,0.7587,90
1990-05-08,0,0.76,91
1990-05-09,0,0.7669,92
1990-05-10,0,0.7645,93
1990-05-11,0,0.7625,94
1990-05-14,0,0.7617,95
1990-05-15,0,0.7605,96
1990-05-16,0,0.764,97
1990-05-17,0,0.764,98
1990-05-18,0,0.7653,99
1990-05-21,0,0.7623,100
1990-05-22,0,0.7668,101
1990-05-23,0,0.766,102
1990-05-24,0,0.772,103
1990-05-25,0,0.7678,104
1990-05-28,0,0.7693,105
1990-05-29,0,0.7676,106
1990-05-30,0,0.771,107
1990-05-31,0,0.7718,108
1990-06-01,0,0.7775,109
1990-06-04,0,0.7725,110
1990-06-05,0,0.7751,111
1990-06-06,0,0.774,112
1990-06-07,0,0.7743,113
1990-06-08,0,0.775,114
1990-06-11,0,0.7756,115
1990-06-12,0,0.7792,116
1990-06-13,0,0.784,117
1990-06-14,0,0.7833,118
1990-06-15,0,0.7901,119
1990-06-18,0,0.7852,120
1990-06-19,0,0.7851,121
1990-06-20,0,0.7846,122
1990-06-21,0,0.7875,123
1990-06-22,0,0.7853,124
1990-06-25,0,0.7916,125
1990-06-26,0,0.7964,126
1990-06-27,0,0.7974,127
1990-06-28,0,0.799,128
1990-06-29,0,0.7974,129
1990-07-02,0,0.8025,130
1990-07-03,0,0.8066,131
1990-07-04,0,0.7965,132
1990-07-05,0,0.7913,133
1990-07-06,0,0.7804,134
1990-07-09,0,0.7815,135
1990-07-10,0,0.7899,136
1990-07-11,0,0.7915,137
1990-07-12,0,0.7819,138
1990-07-13,0,0.7838,139
1990-07-16,0,0.7839,140
1990-07-17,0,0.7858,141
1990-07-18,0,0.7859,142
1990-07-19,0,0.7792,143
1990-07-20,0,0.7897,144
1990-07-23,0,0.7916,145
1990-07-24,0,0.7938,146
1990-07-25,0,0.794,147
1990-07-26,0,0.7859,148
1990-07-27,0,0.785,149
1990-07-30,0,0.79,150
1990-07-31,0,0.7925,151
1990-08-01,0,0.7953,152
1990-08-02,0,0.7992,153
1990-08-03,0,0.7977,154
1990-08-06,0,0.8025,155
1990-08-07,0,0.8061,156
1990-08-08,0,0.8071,157
1990-08-09,0,0.8045,158
1990-08-10,0,0.807,159
1990-08-13,0,0.808,160
1990-08-14,0,0.8162,161
1990-08-15,0,0.8205,162
1990-08-16,0,0.8293,163
1990-08-17,0,0.833,164
1990-08-20,0,0.8311,165
1990-08-21,0,0.8302,166
1990-08-22,0,0.8325,167
1990-08-23,0,0.8168,168
1990-08-24,0,0.816,169
1990-08-27,0,0.8147,170
1990-08-28,0,0.8278,171
1990-08-29,0,0.8237,172
1990-08-30,0,0.8208,173
1990-08-31,0,0.8123,174
1990-09-03,0,0.817,175
1990-09-04,0,0.8187,176
1990-09-05,0,0.821,177
1990-09-06,0,0.8267,178
1990-09-07,0,0.8316,179
1990-09-10,0,0.8335,180
1990-09-11,0,0.8291,181
1990-09-12,0,0.8266,182
1990-09-13,0,0.8288,183
1990-09-14,0,0.8315,184
1990-09-17,0,0.8303,185
1990-09-18,0,0.831,186
1990-09-19,0,0.8267,187
1990-09-20,0,0.8254,188
1990-09-21,0,0.8311,189
1990-09-24,0,0.8298,190
1990-09-25,0,0.832,191
1990-09-26,0,0.833,192
1990-09-27,0,0.8351,193
1990-09-28,0,0.8337,194
1990-10-01,0,0.8265,195
1990-10-02,0,0.814,196
1990-10-03,0,0.8183,197
1990-10-04,0,0.7888,198
1990-10-05,0,0.787,199
1990-10-08,0,0.7775,200
1990-10-09,0,0.769,201
1990-10-10,0,0.782,202
1990-10-11,0,0.782,203
1990-10-12,0,0.778,204
1990-10-15,0,0.7804,205
1990-10-16,0,0.7833,206
1990-10-17,0,0.7812,207
1990-10-18,0,0.7835,208
1990-10-19,0,0.7821,209
1990-10-22,0,0.7848,210
1990-10-23,0,0.7837,211
1990-10-24,0,0.7765,212
1990-10-25,0,0.782,213
1990-10-26,0,0.787,214
1990-10-29,0,0.7785,215
1990-10-30,0,0.7781,216
1990-10-31,0,0.7794,217
1990-11-01,0,0.7725,218
1990-11-02,0,0.7707,219
1990-11-05,0,0.772,220
1990-11-06,0,0.7635,221
1990-11-07,0,0.7653,222
1990-11-08,0,0.7635,223
1990-11-09,0,0.7658,224
1990-11-12,0,0.7663,225
1990-11-13,0,0.7684,226
1990-11-14,0,0.7691,227
1990-11-15,0,0.7722,228
1990-11-16,0,0.774,229
1990-11-19,0,0.7768,230
1990-11-20,0,0.7773,231
1990-11-21,0,0.7692,232
1990-11-22,0,0.77,233
1990-11-23,0,0.7735,234
1990-11-26,0,0.7667,235
1990-11-27,0,0.7677,236
1990-11-28,0,0.766,237
1990-11-29,0,0.7581,238
1990-11-30,0,0.7675,239
1990-12-03,0,0.766,240
1990-12-04,0,0.7701,241
1990-12-05,0,0.771,242
1990-12-06,0,0.7734,243
1990-12-07,0,0.773,244
